Date,PT100Mean,PT100STD,IGMean,IGSTD
2025/03/20 14:17:21,60.1,3.3,63.0,0.0
Date,PT100Mean,PT100STD,IGMean,IGSTD
2025/03/20 14:17:39,123.3,177.2,63.0,0.0
2025/03/20 14:17:50,123.7,178.1,63.0,0.0
2025/03/20 14:18:01,115.5,161.9,63.0,0.0
2025/03/20 14:18:13,128.0,187.4,63.0,0.0
2025/03/20 14:18:24,121.9,174.4,63.0,0.0
2025/03/20 14:18:35,113.0,159.7,63.0,0.0
2025/03/20 14:18:47,112.8,160.6,63.0,0.0
2025/03/20 14:18:58,122.6,177.0,63.0,0.0
2025/03/20 14:19:10,117.3,163.3,63.0,0.0
2025/03/20 14:19:21,117.8,171.6,63.0,0.0
2025/03/20 14:19:32,121.4,173.1,63.0,0.0
2025/03/20 14:19:43,113.8,161.0,63.0,0.0
2025/03/20 14:19:55,119.7,173.1,63.0,0.0
2025/03/20 14:20:07,119.1,172.5,63.0,0.0
2025/03/20 14:20:18,121.8,174.3,63.0,0.0
2025/03/20 14:20:29,128.2,187.8,63.0,0.0
2025/03/20 14:20:40,114.1,164.7,63.0,0.0
2025/03/20 14:20:51,131.3,189.0,63.0,0.0
2025/03/20 14:21:02,117.7,171.5,63.0,0.0
2025/03/20 14:21:14,125.2,185.7,63.0,0.0
2025/03/20 14:21:27,111.1,154.9,63.0,0.0
2025/03/20 14:21:38,118.4,172.7,63.0,0.0
2025/03/20 14:21:49,126.6,185.5,63.0,0.0
2025/03/20 14:22:00,124.9,177.6,63.0,0.0
2025/03/20 14:22:11,118.1,172.7,63.0,0.0
2025/03/20 14:22:22,116.7,169.9,63.0,0.0
2025/03/20 14:22:33,118.0,172.3,63.0,0.0
2025/03/20 14:22:44,120.4,172.8,63.0,0.0
2025/03/20 14:22:55,111.1,155.7,63.0,0.0
2025/03/20 14:23:05,112.1,155.7,63.0,0.0
2025/03/20 14:23:16,125.1,185.6,63.0,0.0
2025/03/20 14:23:28,117.8,171.8,63.0,0.0
2025/03/20 14:23:39,113.9,164.6,63.0,0.0
2025/03/20 14:23:50,121.1,173.0,63.0,0.0
2025/03/20 14:24:01,122.6,176.8,63.0,0.0
2025/03/20 14:24:12,125.7,179.5,63.0,0.0
2025/03/20 14:24:23,111.7,155.2,63.0,0.0
2025/03/20 14:24:34,121.0,173.2,63.0,0.0
2025/03/20 14:24:45,120.8,173.0,63.0,0.0
2025/03/20 14:24:55,122.2,176.6,63.0,0.0
2025/03/20 14:25:06,113.7,164.8,63.0,0.0
2025/03/20 14:25:18,119.9,170.6,63.0,0.0
2025/03/20 14:25:29,108.6,153.6,63.0,0.0
2025/03/20 14:25:41,120.5,172.6,63.0,0.0
2025/03/20 14:25:52,122.2,177.0,63.0,0.0
2025/03/20 14:26:03,126.4,186.5,63.0,0.0
2025/03/20 14:26:15,121.4,174.0,63.0,0.0
2025/03/20 14:26:26,113.9,165.1,63.0,0.0
2025/03/20 14:26:37,122.4,177.3,63.0,0.0
2025/03/20 14:26:48,113.4,160.6,63.0,0.0
2025/03/20 14:27:00,121.6,173.3,63.0,0.0
2025/03/20 14:27:14,111.0,155.2,63.0,0.0
2025/03/20 14:27:25,118.5,172.4,63.0,0.0
2025/03/20 14:27:36,121.1,172.9,63.0,0.0
2025/03/20 14:27:48,118.7,172.3,63.0,0.0
2025/03/20 14:27:59,123.3,177.5,63.0,0.0
2025/03/20 14:28:11,122.3,174.6,63.0,0.0
2025/03/20 14:28:22,118.2,172.3,63.0,0.0
2025/03/20 14:28:33,125.5,185.6,63.0,0.0
2025/03/20 14:28:43,128.5,188.3,63.0,0.0
2025/03/20 14:28:54,133.8,193.7,63.0,0.0
2025/03/20 14:29:06,116.2,170.2,63.0,0.0
2025/03/20 14:29:21,122.6,176.6,63.0,0.0
2025/03/20 14:29:32,125.3,180.1,63.0,0.0
2025/03/20 14:29:43,121.7,174.1,63.0,0.0
2025/03/20 14:29:54,113.7,165.1,63.0,0.0
2025/03/20 14:30:05,115.4,165.2,63.0,0.0
2025/03/20 14:30:18,121.7,173.0,63.0,0.0
2025/03/20 14:30:29,126.0,184.9,63.0,0.0
2025/03/20 14:30:39,125.6,185.8,63.0,0.0
2025/03/20 14:30:50,118.6,171.9,63.0,0.0
2025/03/20 14:31:02,125.8,179.5,63.0,0.0
2025/03/20 14:31:13,128.3,187.3,63.0,0.0
