Date,RTD1,RTD1V,RTD2,RTD2V,IG,IGV,TC2,TC2V
2025/03/19 08:50:21,154.8,3.325,210.3,3.325,1.36E-01,3.325,7.94E+05,9.900
2025/03/19 08:50:32,154.8,3.325,210.3,3.325,1.36E-01,3.325,7.94E+05,9.900
2025/03/19 08:50:43,154.8,3.325,210.3,3.325,1.36E-01,3.325,7.94E+05,9.900
2025/03/19 08:50:54,154.8,3.325,210.3,3.325,1.36E-01,3.325,7.94E+05,9.900
2025/03/19 08:51:05,154.8,3.325,210.3,3.325,1.36E-01,3.325,7.94E+05,9.900
2025/03/19 08:51:17,154.8,3.325,210.3,3.325,1.36E-01,3.325,7.94E+05,9.900
2025/03/19 08:51:28,154.8,3.325,210.3,3.325,1.36E-01,3.325,7.94E+05,9.900
2025/03/19 08:51:39,154.8,3.325,210.3,3.325,1.36E-01,3.325,7.94E+05,9.900
2025/03/19 08:51:50,154.8,3.325,210.3,3.325,1.36E-01,3.325,7.94E+05,9.900
2025/03/19 08:52:01,154.8,3.325,210.3,3.325,1.36E-01,3.325,7.94E+05,9.900
2025/03/19 08:52:12,154.8,3.325,210.3,3.325,1.36E-01,3.325,7.94E+05,9.900
2025/03/19 08:52:23,154.8,3.325,210.3,3.325,1.36E-01,3.325,7.94E+05,9.900
2025/03/19 08:52:34,154.8,3.325,210.3,3.325,1.36E-01,3.325,7.94E+05,9.900
2025/03/19 08:52:45,154.8,3.325,210.3,3.325,1.36E-01,3.325,7.94E+05,9.900
2025/03/19 08:52:56,154.8,3.325,210.3,3.325,1.36E-01,3.325,7.94E+05,9.900
2025/03/19 08:53:07,154.8,3.325,210.3,3.325,1.36E-01,3.325,7.94E+05,9.900
2025/03/19 08:53:18,154.8,3.325,210.3,3.325,1.36E-01,3.325,7.94E+05,9.900
2025/03/19 08:53:29,154.8,3.325,210.3,3.325,1.36E-01,3.325,7.94E+05,9.900
2025/03/19 08:53:40,154.8,3.325,210.3,3.325,1.36E-01,3.325,7.94E+05,9.900
2025/03/19 08:53:52,154.8,3.325,210.3,3.325,1.36E-01,3.325,7.94E+05,9.900
2025/03/19 08:54:03,154.8,3.325,210.3,3.325,1.36E-01,3.325,7.94E+05,9.900
2025/03/19 08:54:16,154.8,3.325,210.3,3.325,1.36E-01,3.325,7.94E+05,9.900
2025/03/19 08:54:28,154.8,3.325,210.3,3.325,1.36E-01,3.325,7.94E+05,9.900
2025/03/19 08:54:39,154.8,3.325,210.3,3.325,1.36E-01,3.325,7.94E+05,9.900
2025/03/19 08:54:50,154.8,3.325,210.3,3.325,1.36E-01,3.325,7.94E+05,9.900
2025/03/19 08:55:01,154.8,3.325,210.3,3.325,1.36E-01,3.325,7.94E+05,9.900
2025/03/19 08:55:12,154.8,3.325,210.3,3.325,1.36E-01,3.325,7.94E+05,9.900
2025/03/19 08:55:23,154.8,3.325,210.3,3.325,1.36E-01,3.325,7.94E+05,9.900
2025/03/19 08:55:36,154.8,3.325,210.3,3.325,1.36E-01,3.325,7.94E+05,9.900
2025/03/19 08:55:49,154.8,3.325,210.3,3.325,1.36E-01,3.325,7.94E+05,9.900
2025/03/19 08:56:00,154.8,3.325,210.3,3.325,1.36E-01,3.325,7.94E+05,9.900
2025/03/19 08:56:11,154.8,3.325,210.3,3.325,1.36E-01,3.325,7.94E+05,9.900
2025/03/19 08:56:23,154.8,3.325,210.3,3.325,1.36E-01,3.325,7.94E+05,9.900
2025/03/19 08:56:34,154.8,3.325,210.3,3.325,1.36E-01,3.325,7.94E+05,9.900
2025/03/19 08:56:45,154.8,3.325,210.3,3.325,1.36E-01,3.325,7.94E+05,9.900
2025/03/19 08:56:56,154.8,3.325,210.3,3.325,1.36E-01,3.325,7.94E+05,9.900
2025/03/19 08:57:07,154.8,3.325,210.3,3.325,1.36E-01,3.325,7.94E+05,9.900
2025/03/19 08:57:18,154.8,3.325,210.3,3.325,1.36E-01,3.325,7.94E+05,9.900
2025/03/19 08:57:29,154.8,3.325,210.3,3.325,1.36E-01,3.325,7.94E+05,9.900
2025/03/19 08:57:40,154.8,3.325,210.3,3.325,1.36E-01,3.325,7.94E+05,9.900
2025/03/19 08:57:51,154.8,3.325,210.3,3.325,1.36E-01,3.325,7.94E+05,9.900
2025/03/19 08:58:02,154.8,3.325,210.3,3.325,1.36E-01,3.325,7.94E+05,9.900
2025/03/19 08:58:13,154.8,3.325,210.3,3.325,1.36E-01,3.325,7.94E+05,9.900
2025/03/19 08:58:24,154.8,3.325,210.3,3.325,1.36E-01,3.325,7.94E+05,9.900
2025/03/19 08:58:35,154.8,3.325,210.3,3.325,1.36E-01,3.325,7.94E+05,9.900
2025/03/19 08:58:46,154.8,3.325,210.3,3.325,1.36E-01,3.325,7.94E+05,9.900
2025/03/19 08:58:57,154.8,3.325,210.3,3.325,1.36E-01,3.325,7.94E+05,9.900
2025/03/19 08:59:08,154.8,3.325,210.3,3.325,1.36E-01,3.325,7.94E+05,9.900
2025/03/19 08:59:19,154.8,3.325,210.3,3.325,1.36E-01,3.325,7.94E+05,9.900
2025/03/19 08:59:30,154.8,3.325,210.3,3.325,1.36E-01,3.325,7.94E+05,9.900
2025/03/19 08:59:41,154.8,3.325,210.3,3.325,1.36E-01,3.325,7.94E+05,9.900
2025/03/19 08:59:52,154.8,3.325,210.3,3.325,1.36E-01,3.325,7.94E+05,9.900
2025/03/19 09:00:03,154.8,3.325,210.3,3.325,1.36E-01,3.325,7.94E+05,9.900
2025/03/19 09:00:14,154.8,3.325,210.3,3.325,1.36E-01,3.325,7.94E+05,9.900
2025/03/19 09:00:26,154.8,3.325,210.3,3.325,1.36E-01,3.325,7.94E+05,9.900
2025/03/19 09:00:37,154.8,3.325,210.3,3.325,1.36E-01,3.325,7.94E+05,9.900
2025/03/19 09:00:48,154.8,3.325,210.3,3.325,1.36E-01,3.325,7.94E+05,9.900
2025/03/19 09:00:59,154.8,3.325,210.3,3.325,1.36E-01,3.325,7.94E+05,9.900
2025/03/19 09:01:10,154.8,3.325,210.3,3.325,1.36E-01,3.325,7.94E+05,9.900
2025/03/19 09:01:21,154.8,3.325,210.3,3.325,1.36E-01,3.325,7.94E+05,9.900
2025/03/19 09:01:32,154.8,3.325,210.3,3.325,1.36E-01,3.325,7.94E+05,9.900
2025/03/19 09:01:43,154.8,3.325,210.3,3.325,1.36E-01,3.325,7.94E+05,9.900
