Date,RTD1,RTD1V,RTD2,RTD2V,IG,IGV,TC2,TC2V
2022/10/16 00:00:07,165.9,3.325,210.3,3.325,8.15E-12,0.006,1.04E-04,0.017
2022/10/16 00:00:18,165.9,3.325,210.3,3.325,8.01E-12,0.005,1.04E-04,0.016
2022/10/16 00:00:29,165.9,3.325,210.3,3.325,8.32E-12,0.006,1.04E-04,0.015
2022/10/16 00:00:40,165.9,3.325,210.3,3.325,8.21E-12,0.006,1.04E-04,0.018
2022/10/16 00:00:50,165.9,3.325,210.3,3.325,8.13E-12,0.006,1.04E-04,0.017
2022/10/16 00:01:01,165.9,3.325,210.3,3.325,8.09E-12,0.006,1.04E-04,0.016
2022/10/16 00:01:12,165.9,3.325,210.3,3.325,8.17E-12,0.006,1.04E-04,0.018
2022/10/16 00:01:23,165.9,3.325,210.3,3.325,8.03E-12,0.005,1.04E-04,0.016
2022/10/16 00:01:34,165.9,3.325,210.3,3.325,7.99E-12,0.005,1.04E-04,0.016
2022/10/16 00:01:45,165.9,3.325,210.3,3.325,8.19E-12,0.006,1.03E-04,0.015
2022/10/16 00:01:56,165.9,3.325,210.3,3.325,8.01E-12,0.005,1.04E-04,0.017
2022/10/16 00:02:09,165.9,3.325,210.3,3.325,8.07E-12,0.006,1.04E-04,0.015
2022/10/16 00:02:20,165.9,3.325,210.3,3.325,8.05E-12,0.005,1.04E-04,0.015
2022/10/16 00:02:31,165.9,3.325,210.3,3.325,8.19E-12,0.006,1.04E-04,0.016
2022/10/16 00:02:42,165.9,3.325,210.3,3.325,8.21E-12,0.006,1.04E-04,0.017
2022/10/16 00:02:53,165.9,3.325,210.3,3.325,8.07E-12,0.006,1.04E-04,0.017
2022/10/16 00:03:04,165.9,3.325,210.3,3.325,8.01E-12,0.005,1.04E-04,0.016
2022/10/16 00:03:15,165.9,3.325,210.3,3.325,8.17E-12,0.006,1.04E-04,0.015
2022/10/16 00:03:26,165.9,3.325,210.3,3.325,8.09E-12,0.006,1.04E-04,0.018
2022/10/16 00:03:37,165.9,3.325,210.3,3.325,8.03E-12,0.005,1.04E-04,0.017
2022/10/16 00:03:48,165.9,3.325,210.3,3.325,8.26E-12,0.006,1.04E-04,0.017
2022/10/16 00:03:59,165.9,3.325,210.3,3.325,8.05E-12,0.005,1.04E-04,0.018
2022/10/16 00:04:10,165.9,3.325,210.3,3.325,8.01E-12,0.005,1.04E-04,0.016
2022/10/16 00:04:21,165.9,3.325,210.3,3.325,8.19E-12,0.006,1.04E-04,0.016
2022/10/16 00:04:32,165.9,3.325,210.3,3.325,7.91E-12,0.005,1.04E-04,0.018
2022/10/16 00:04:43,165.9,3.325,210.3,3.325,8.01E-12,0.005,1.04E-04,0.018
2022/10/16 00:04:54,165.9,3.325,210.3,3.325,7.99E-12,0.005,1.04E-04,0.016
2022/10/16 00:05:05,165.9,3.325,210.3,3.325,8.11E-12,0.006,1.04E-04,0.018
2022/10/16 00:05:16,165.9,3.325,210.3,3.325,7.99E-12,0.005,1.04E-04,0.016
2022/10/16 00:05:27,165.9,3.325,210.3,3.325,8.15E-12,0.006,1.04E-04,0.017
2022/10/16 00:05:38,165.9,3.325,210.3,3.325,8.19E-12,0.006,1.04E-04,0.017
2022/10/16 00:05:49,165.9,3.325,210.3,3.325,8.05E-12,0.005,1.04E-04,0.016
2022/10/16 00:06:00,165.9,3.325,210.3,3.325,8.03E-12,0.005,1.04E-04,0.017
2022/10/16 00:06:11,165.9,3.325,210.3,3.325,8.07E-12,0.006,1.03E-04,0.015
2022/10/16 00:06:22,165.9,3.325,210.3,3.325,8.09E-12,0.006,1.04E-04,0.015
2022/10/16 00:06:33,165.9,3.325,210.3,3.325,8.03E-12,0.005,1.04E-04,0.016
2022/10/16 00:06:44,165.9,3.325,210.3,3.325,7.99E-12,0.005,1.04E-04,0.017
2022/10/16 00:06:55,165.9,3.325,210.3,3.325,8.09E-12,0.006,1.04E-04,0.017
2022/10/16 00:07:06,165.9,3.325,210.3,3.325,8.05E-12,0.005,1.04E-04,0.016
2022/10/16 00:07:16,165.9,3.325,210.3,3.325,7.97E-12,0.005,1.04E-04,0.016
2022/10/16 00:07:27,165.9,3.325,210.3,3.325,7.93E-12,0.005,1.04E-04,0.016
2022/10/16 00:07:38,165.9,3.325,210.3,3.325,8.07E-12,0.006,1.04E-04,0.015
2022/10/16 00:07:49,165.9,3.325,210.3,3.325,8.09E-12,0.006,1.04E-04,0.015
2022/10/16 00:08:00,165.9,3.325,210.3,3.325,8.05E-12,0.005,1.04E-04,0.015
2022/10/16 00:08:11,165.9,3.325,210.3,3.325,8.03E-12,0.005,1.04E-04,0.017
2022/10/16 00:08:22,165.9,3.325,210.3,3.325,7.97E-12,0.005,1.04E-04,0.016
2022/10/16 00:08:35,165.9,3.325,210.3,3.325,8.19E-12,0.006,1.04E-04,0.016
2022/10/16 00:08:46,165.9,3.325,210.3,3.325,8.05E-12,0.005,1.04E-04,0.016
2022/10/16 00:08:57,165.9,3.325,210.3,3.325,8.01E-12,0.005,1.04E-04,0.017
2022/10/16 00:09:08,165.9,3.325,210.3,3.325,8.03E-12,0.005,1.04E-04,0.015
2022/10/16 00:09:19,165.9,3.325,210.3,3.325,8.01E-12,0.005,1.03E-04,0.015
2022/10/16 00:09:30,165.9,3.325,210.3,3.325,8.05E-12,0.005,1.04E-04,0.016
2022/10/16 00:09:41,165.9,3.325,210.3,3.325,8.11E-12,0.006,1.04E-04,0.016
2022/10/16 00:09:52,165.9,3.325,210.3,3.325,8.09E-12,0.006,1.04E-04,0.015
2022/10/16 00:10:03,165.9,3.325,210.3,3.325,8.17E-12,0.006,1.03E-04,0.015
2022/10/16 00:10:14,165.9,3.325,210.3,3.325,8.13E-12,0.006,1.04E-04,0.016
2022/10/16 00:10:25,165.9,3.325,210.3,3.325,7.99E-12,0.005,1.04E-04,0.016
2022/10/16 00:10:36,165.9,3.325,210.3,3.325,8.07E-12,0.006,1.04E-04,0.016
